# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
27.5549       	DICPCG	1.605980e-03	6.541860e-07	1	true
27.6683       	DICPCG	1.914480e-03	9.322230e-07	1	true
27.7988       	DICPCG	2.195010e-03	4.215580e-10	2	true
27.8205       	DICPCG	3.643450e-04	3.410680e-08	1	true
27.8461       	DICPCG	4.303200e-04	4.761390e-08	1	true
27.8768       	DICPCG	5.155870e-04	6.841320e-08	1	true
27.9137       	DICPCG	6.177740e-04	9.832250e-08	1	true
27.958        	DICPCG	7.402900e-04	1.413610e-07	1	true
28.0111       	DICPCG	8.865630e-04	2.030290e-07	1	true
28.0748       	DICPCG	1.061390e-03	2.914620e-07	1	true
28.1512       	DICPCG	1.268700e-03	4.172120e-07	1	true
28.243        	DICPCG	1.519640e-03	5.998600e-07	1	true
28.3529       	DICPCG	1.812010e-03	8.550540e-07	1	true
28.4849       	DICPCG	2.166660e-03	4.240070e-10	2	true
28.6431       	DICPCG	2.582510e-03	7.213350e-10	2	true
28.7041       	DICPCG	9.955010e-04	2.615830e-07	1	true
28.7345       	DICPCG	4.953470e-04	6.492950e-08	1	true
28.771        	DICPCG	5.939540e-04	9.343740e-08	1	true
28.8147       	DICPCG	7.116010e-04	1.342630e-07	1	true
28.8673       	DICPCG	8.529850e-04	1.931630e-07	1	true
28.9304       	DICPCG	1.021240e-03	2.773110e-07	1	true
29.0062       	DICPCG	1.223590e-03	3.988300e-07	1	true
29.0967       	DICPCG	1.456180e-03	5.661260e-07	1	true
29.2044       	DICPCG	1.727210e-03	7.986290e-07	1	true
29.332        	DICPCG	2.035750e-03	3.718330e-10	2	true
29.484        	DICPCG	2.411800e-03	6.215790e-10	2	true
29.6624       	DICPCG	2.813280e-03	9.932960e-10	2	true
29.8637       	DICPCG	3.153200e-03	1.411970e-09	2	true
29.8802       	DICPCG	2.588210e-04	1.841620e-08	1	true
29.8991       	DICPCG	2.958290e-04	2.407930e-08	1	true
29.921        	DICPCG	3.430740e-04	3.242070e-08	1	true
29.9465       	DICPCG	3.986660e-04	4.383660e-08	1	true
